Name,Shop,Link,Price,Date
"Intel bx80684i59600k - CPU intel Core i5-9600k 3.70ghz 9m lga1151 bx80684i59600k 984505, Gris",Amazon,https://www.amazon.es/Intel-BX80684I59600K-I5-9600K-3-70Ghz-Lga1151/dp/B07HHLX1R8/ref=sr_1_2?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-2,197.94 ,2020-10-07
"Intel BX80684I79700K - CPU INTEL Core I7-9700K 3.60GHZ 12M LGA1151 BX80684I79700K 985083, Gris",Amazon,https://www.amazon.es/Intel-BX80684I79700K-I7-9700K-3-60GHZ-LGA1151/dp/B07HHN6KBZ/ref=sr_1_4?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-4,312.99 ,2020-10-07
"Intel Core i5-9400F procesador 2,9 GHz Caja 9 MB Smart Cache",Amazon,https://www.amazon.es/Intel-i5-9400F-procesador-Smart-Cache/dp/B07S9M32FG/ref=sr_1_5?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-5,129.91 ,2020-10-07
Intel CPU CORE I5-9400F 2.90GHZ 9M LGA1151 NO GRAPHICS BX80684I59400F 999CVM,Amazon,https://www.amazon.es/I5-9400F-2-90GHZ-LGA1151-Graphics-BX80684I59400F/dp/B07MRCGQQ4/ref=sr_1_8?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-8,133.86 ,2020-10-07
"Intel Core i9-10900 - Procesador (2,80 GHz, zócalo LGA1200, 65 W, Caja BX8070110900)",Amazon,https://www.amazon.es/Intel-Core-i9-10900-Procesador-BX8070110900/dp/B0883P56BM/ref=sr_1_15?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-15,454.95 ,2020-10-07
"Intel Bx80684I99900K Intel Core I9-9900K - Procesador , 3.60Ghz, 16 MB, LGA1151, Gris",Amazon,https://www.amazon.es/Intel-Bx80684I99900K-I9-9900K-3-60Ghz-Lga1151/dp/B005404P9I/ref=sr_1_13?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-13,416.98 ,2020-10-07
"Intel Core i5-10400 - Procesador (2,90 GHz; zócalo LGA1200; 65 W)",Amazon,https://www.amazon.es/Intel-Core-i5-10400-Procesador-LGA1200/dp/B0883NPQST/ref=sr_1_14?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-14,169.85 ,2020-10-07
"Intel Core i7-10700K - Procesador (3,80 GHz; Casquillo LGA1200; Caja de 125 W)",Amazon,https://www.amazon.es/Intel-Core-i7-10700K-Procesador-Casquillo/dp/B0883P8CNM/ref=sr_1_16?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-16,369.96 ,2020-10-07
"Intel Core i9-10900X LGA2066 X299 Series - Procesador de sobremesa (10 núcleos hasta 4,7 GHz, 165 W) 10 Kerne 3.7 GHz",Amazon,https://www.amazon.es/Intel-Core-i9-10900X-LGA2066-X299/dp/B07YP69HTM/ref=sr_1_28?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-28,646.90 ,2020-10-07
"Procesador Intel Core i9-10900X Serie X de 10 núcleos con 3,7 GHz (hasta 4,7 GHz con Turbo Boost 3.0, LGA2066 X299 Series 165 W)",Amazon,https://www.amazon.es/Procesador-Intel-i9-10900X-n%C3%BAcleos-LGA2066/dp/B07ZQN8V6S/ref=sr_1_32?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesador+intel&qid=1602070578&sr=8-32,628.17 ,2020-10-07
"EVGA GeForce RTX 2060 KO Ultra Gaming, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",Amazon,https://www.amazon.es/EVGA-GeForce-Gaming-06G-P4-2068-KR-Backplate/dp/B083JX52VG/ref=sr_1_3?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2060&qid=1602070744&sr=8-3,299.90 ,2020-10-07
"ASUS ROG-Strix-RTX 2060-A6G-EVO-GAMING - Tarjeta gráfica (NVIDIA GeForce RTX 2060, 6 GB, GDDR 6, 192 bit, 1920 Cuda Núcleos, 1740 MHz, HDMI x 2, DisplayPort x 2, PCI Express 3.0 x 16)",Amazon,https://www.amazon.es/ASUS-ROG-Strix-RTX-2060-A6G-EVO-GAMING-Tarjeta-DisplayPort/dp/B086FX185S/ref=sr_1_6?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2060&qid=1602070744&sr=8-6,389.69 ,2020-10-07
ASUS Dual GeForce RTX 2060 OC Edition EVO - Tarjeta gráfica de 6 GB GDDR6 con la Arquitectura gráfica NVIDIA Turing,Amazon,https://www.amazon.es/ASUS-RTX2060-Dual-GDDR6-HDMI/dp/B07V1Y6Y2J/ref=sr_1_5?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2060&qid=1602070744&sr=8-5,329.89 ,2020-10-07
Gigabyte GeForce RTX 2070 Super WINDFORCE OC 3x 8G Tarjeta de video refrigeración agua y freón,Amazon,https://www.amazon.es/Gigabyte-GeForce-WINDFORCE-Tarjeta-refrigeraci%C3%B3n/dp/B07X51LTKK/ref=sr_1_2?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2070&qid=1602070776&sr=8-2,469.90 ,2020-10-07
"MSI GeForce RTX 2070 Super Gaming X Trio - Tarjeta gráfica (8 GB, GDDR6, 256 bit, 7680 x 4320 Pixeles, PCI Express x16 3.0)",Amazon,https://www.amazon.es/MSI-GeForce-2070-Super-Gaming/dp/B07TWX22ZQ/ref=sr_1_3?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2070&qid=1602070776&sr=8-3,479.90 ,2020-10-07
"Tarjeta gráfica MSI GeForce RTX 2070 Ventus GP 8 GB, GDDR6, 1620 MHz, 3 DisplayPort, 1 x HDMI, TORX Fan 2.0, Sistema de refrigeración de Doble Ventilador",Amazon,https://www.amazon.es/GeForce-RTX-2070-Ventus-GP/dp/B0817726L8/ref=sr_1_4?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2070&qid=1602070776&sr=8-4,515.46 ,2020-10-07
"EVGA GeForce RTX 2080 Super KO Gaming, 08G-P4-2083-KR, 8GB GDDR6,Dual Fans",Amazon,https://www.amazon.es/EVGA-GeForce-Super-Gaming-08G-P4-2083-KR/dp/B086VWDVZ9/ref=sr_1_3?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2080&qid=1602070783&sr=8-3,699.90 ,2020-10-07
"ASUS ROG Strix GeForce RTX 2080 Super OC Edition 8GB GDDR6 - Tarjeta gráfica (Ventiladores Axial-Tech, Dual BIOS, Auto-Extreme, SAP II, MaxContact, GPU Tweak II, Aura Sync, FanConnect II)",Amazon,https://www.amazon.es/ASUS-Strix-GeForce-Super-GDDR6/dp/B07VN6D5JB/ref=sr_1_6?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2080&qid=1602070783&sr=8-6,992.07 ,2020-10-07
"MSI RTX 2080 Super Gaming X Trio - VGA 8GB, GDDR6, HDMI, 3*DP, USB-C 2S",Amazon,https://www.amazon.es/MSI-RTX2080S-Gaming-GDDR6-USB-C/dp/B07VGM29BZ/ref=sr_1_10?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=nvidia+rtx+2080&qid=1602070783&sr=8-10,832.60 ,2020-10-07
